Using ^vbg+++xvbg+=Using
data ^nns++++=data
from ^in++++=from
the ^ati++++=the
Archer ^nn++++=ARCHER
corpus ^nn++++=corpus,
, ^zz++++=EXTRAWORD
Kranich ^np+++??+=Kranich
( ^zz++++=(2010
2010 ^cd++++=EXTRAWORD
: ^zz++++=:95)
95 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
shows ^vbz+vprv+++=shows
that ^tht+vcmp+++=that
the ^ati++++=the
frequency ^nn++++=frequency
of ^in++++=of
the ^ati++++=the
progressive ^jj+atrb+++=progressive
rose ^nn+++xvbn+=rose
steeply ^rb++++=steeply
from ^in++++=from
the ^ati++++=the
seventeenth ^od++++=seventeenth
century ^nn++++=century
onwards ^rb+cnj+++=onwards,
, ^zz++++=EXTRAWORD
the ^ati++++=the
most ^ql+emph+++=most
noticeable ^jj++++=noticeable
increase ^vb++++=increase
found ^vbd+vprv++xvbn+=found
in ^in++++=in
the ^ati++++=the
second ^od++++=second
half ^nn++++=half
of ^in++++=of
the ^ati++++=the
nineteenth ^od++++=nineteenth
century ^nn++++=century
( ^zz++++=(
Kranich ^np++++=Kranich
2010 ^cd++++=2010
: ^zz++++=:95,
95 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
242 ^cd++++=242,
, ^zz++++=EXTRAWORD
251 ^cd++++=251).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
also ^rb++++=also
reports ^nns++++=reports
frequency ^nn++++=frequency
differences ^nns+nom+++=differences
in ^in++++=in
terms ^nns++++=terms
of ^in++++=of
text ^nn++++=text
type ^nn++++=type,
, ^zz++++=EXTRAWORD
with ^in++++=with
fiction ^nn+nom+++=fiction
and ^cc++++=and
drama ^nn++++=drama
in ^rb++++=in
particular ^rb"++++=particular
favoring ^vbg+++xvbg+=favoring
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
the ^ati++++=the
progressive ^jj++++=progressive
( ^zz++++=(
Kranich ^np++++=Kranich
2010 ^cd++++=2010
: ^zz++++=:101,
101 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
251 ^cd++++=251).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
respect ^nn++++=respect,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
the ^ati++++=the
be ^vb+be+aux++=be
progressive ^jj+pred+++=progressive
has ^vbz+hvz+vrb++=has
much ^rb++++=much
in ^rb++++=in
common ^rb"++++=common
with ^in++++=with
the ^ati++++=the
Vv ^np+++??+=VV
ing ^vwbg+++xvbg+=ing
Obl ^np+++??+=OBL
construction ^nn+nom+++=construction,
, ^zz++++=EXTRAWORD
as ^ql++++=as
will ^md+prd+++=will
be ^vb+be+aux++=be
seen ^vprf+++xvbn+=seen
in ^in++++=in
section ^nn+nom+++=section
7 ^zz++++=7.
. ^zz++++=EXTRAWORD
