Since ^cs+sub+++=Since
most ^ql+emph+++=most
studies ^nns++++=studies
of ^in++++=of
patient ^nn++++=patient
feedback ^nn+++??+=feedback
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
carried ^vpsv++agls+xvbnx+=carried
out ^rp+pl+++=out
within ^in++++=within
medical ^jj+atrb+++=medical
fields ^nns++++=fields,
, ^zz++++=EXTRAWORD
existing ^jj+atrb++xvbg+=existing
research ^nn++++=research
has ^vbz+hvz+aux++=has
tended ^vprf+++xvbnx+=tended
to ^to+vcmp+++=to
focus ^vbi++++=focus
on ^in++++=on
what ^wdt+who+++=what
is ^vbz+bez+aux++=is
said ^vpsv++agls+xvbnx+=said
in ^in++++=in
the ^ati++++=the
feedback ^nn+++??+=feedback,
, ^zz++++=EXTRAWORD
rather ^rb+cnj+++=rather
than ^in++++=than
how ^wrb+who+++=how
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
said ^vpsv++agls+xvbnx+=said.
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
language ^nn+nom+++=language
plays ^nns++++=plays
a ^at++++=a
central ^jj+atrb+++=central
role ^nn++++=role
in ^in++++=in
studies ^nns++++=studies
of ^in++++=of
qualitative ^jj+atrb+++=qualitative
feedback ^nn+++??+=feedback,
, ^zz++++=EXTRAWORD
language ^nn+nom+++=language
has ^vbz+hvz+aux++=has
tended ^vprf+++xvbnx+=tended
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
viewed ^vpsv++agls+xvbnx+=viewed
merely ^rb+down+++=merely
as ^in++++=as
the ^ati++++=the
medium ^nn++++=medium
through ^in++++=through
which ^whp+rel+pied++=which
information ^nn+nom+++=information
is ^vbz+bez+aux++=is
exchanged ^vpsv++agls+xvbnx+=exchanged
( ^zz++++=(i.e.
i.e ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
the ^ati++++=the
feedback ^nn+++??+=feedback
given ^vwbn+++xvbn+=given),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
rather ^rb+cnj+++=rather
than ^in++++=than
being ^xvbg+++xvbg+=being
the ^ati++++=the
object ^nn++++=object
of ^in++++=of
study ^nn++++=study
in ^in++++=in
its ^pp$+it+++=its
own ^ap++++=own
right ^nn++++=right.
. ^zz++++=EXTRAWORD
As ^ql++++=As
Mazanderani ^np+++??+=Mazanderani
and ^cc++++=and
Powell ^np++++=Powell
( ^zz++++=(2013
2013 ^cd++++=EXTRAWORD
: ^zz++++=:
97 ^cd++++=97)
) ^zz++++=EXTRAWORD
observe ^vb+vprv+++=observe,
, ^zz++++=EXTRAWORD
[ ^zz++++=[o]
o ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
ne ^&fw++++=ne
criticism ^nn+nom+++=criticism
frequently ^rb++++=frequently
leveraged ^jj+++xvbn+=leveraged
against ^in++++=against
research ^nn++++=research
on ^in++++=on
patients ^nns++++=patients
experiences ^nns+nom+++=experiences
is ^vbz+bez+vrb++=is
that ^dt+dem+++=that
too ^ql++++=too
little ^ap++++=little
attention ^nn+nom+++=attention
is ^vbz+bez+aux++=is
paid ^vpsv++agls+xvbnx+=paid
to ^in++++=to
the ^ati++++=the
issue ^nn++++=issue
of ^in++++=of
how ^wrb+who+++=how
these ^dt+dem+++=these
experiences ^nns+nom+++=experiences,
, ^zz++++=EXTRAWORD
be ^vb+be+aux++=be
they ^pp3a+pp3+++=they
articulated ^vbd+++xvbnx+=articulated
in ^in++++=in
stories ^nns++++=stories,
, ^zz++++=EXTRAWORD
brief ^jj++++=brief
quotes ^vbz++++=quotes,
, ^zz++++=EXTRAWORD
images ^nns++++=images,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
numbers ^nns+nom+++=numbers,
, ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
constructed ^vpsv++agls+xvbnx+=constructed
. ^zz++++=.
As ^ql++++=As
a ^at++++=a
consequence ^nn+nom+++=consequence,
, ^zz++++=EXTRAWORD
patients ^nns++++=patients
talk ^nn++++=talk
about ^in++++=about
healthcare ^nn+++??+=healthcare
is ^vbz+bez+vrb++=is
routinely ^jj++++=routinely
treated ^jj+++xvbn+=treated
as ^ql++++=as
depicting ^jj+++xvbg+=depicting
some ^dti++++=some
reality ^nn+nom+++=reality
of ^in++++=of
the ^ati++++=the
healthcare ^nn+++??+=healthcare
services ^nns++++=services
they ^pp3a+pp3+++=they
represent ^vb++++=represent.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
are ^vb+ber+vrb++=are
sympathetic ^jj+pred+++=sympathetic
to ^in++++=to
the ^ati++++=the
view ^nn++++=view
that ^tht+ncmp+++=that
such ^abl++++=such
representations ^nns+nom+++=representations
do ^vb+do+aux++=do
not ^xnot++not++=not
offer ^vb++++=offer
a ^at++++=a
transparent ^jj+atrb+++=transparent
window ^nn++++=window
on ^in++++=on
the ^ati++++=the
events ^nns++++=events
or ^cc++++=or
episodes ^nns++++=episodes
of ^in++++=of
care ^nn++++=care
being ^xvbg+++xvbg+=being
discussed ^vwbn+++xvbn+=discussed
in ^in++++=in
the ^ati++++=the
feedback ^nn+++??+=feedback
but ^cc++++=but,
, ^zz++++=EXTRAWORD
rather ^rb+cnj+++=rather,
, ^zz++++=EXTRAWORD
emerge ^vb++++=emerge
through ^in++++=through
particular ^jj++++=particular
socially ^rb++++=socially
and ^cc+phrs+++=and
technologically ^rb++++=technologically
mediated ^jj+atrb+++=mediated
practices ^nns++++=practices
( ^zz++++=(ibid.).
ibid. ^nn++++=EXTRAWORD
). ^nn++++=EXTRAWORD
