Studying ^jj+atrb++xvbg+=Studying
deviations ^nns+nom+++=deviations
from ^in++++=from
the ^ati++++=the
dominant ^jj+atrb+++=dominant
tendencies ^nns++++=tendencies
may ^md+pos+++=may
help ^vb++++=help
refine ^vb++++=refine
the ^ati++++=the
picture ^nn++++=picture
further ^jjb++++=further
and ^cc++++=and
support ^nn++++=support
the ^ati++++=the
notion ^nn++++=notion
that ^tht+ncmp+++=that
language ^nn+nom+++=language
is ^vbz+bez+vrb++=is
a ^at++++=a
construction ^nn+nom+++=construction
network ^nn++++=network
with ^in++++=with
fluctuating ^jj+atrb+++=fluctuating
links ^nns++++=links.
. ^zz++++=EXTRAWORD
As ^cs+sub+++=As
noticed ^vbd+vprv++xvbn+=noticed
earlier ^jjr++++=earlier
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
section ^nn+nom+++=section
3.3 ^cd++++=3.3,
, ^zz++++=EXTRAWORD
Table ^nn++++=Table
4 ^zz++++=4
) ^zz++++=),
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
instantiations ^nns+nom+++=instantiations
of ^in++++=of
the ^ati++++=the
Anca ^np+++??+=ANCA
construction ^nn+nom+++=construction
were ^vbd+bed+aux++=were
typically ^rb++splt++=typically
constructs ^vbz++++=constructs
involving ^jj+++xvbg+=involving
two ^cd++++=two
adjectives ^nns++++=adjectives
which ^whp+rel+subj++=which
modified ^vbd+++xvbn+=modified
the ^ati++++=the
noun ^nn++++=noun
separately ^rb+cnj+++=separately,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
also ^rb++++=also
cases ^nns++++=cases
which ^whp+rel+subj++=which
involved ^vbd+++xvbn+=involved
hierarchically ^rb++++=hierarchically
related ^xvbn+++xvbn+=related
adjectives ^nns++++=adjectives
under ^in++++=under
this ^dt+dem+++=this
schema ^nn++++=schema,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
( ^zz++++=(50).
50 ^cd++++=EXTRAWORD
). ^nn++++=EXTRAWORD
