Second ^rb+cnj+++=Second,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
assessed ^vbd+++xvbn+=assessed
the ^ati++++=the
relationship ^nn+nom+++=relationship
between ^in++++=between
global ^jj+atrb+++=global
economic ^jj+atrb+++=economic
uncertainty ^nn++++=uncertainty
and ^cc++++=and
suicide ^nn++++=suicide
risk ^nn++++=risk
by ^in++++=by
estimating ^xvbg+++xvbg+=estimating
a ^at++++=a
fixed ^jj+++xvbn+=fixed-effects
- ^zz++++=EXTRAWORD
effects ^nns++++=EXTRAWORD
panel ^nn++++=panel
model ^nn++++=model,
, ^zz++++=EXTRAWORD
controlling ^jj+++xvbg+=controlling
for ^in++++=for
unemployment ^nn+nom+++=unemployment
and ^cc++++=and
economic ^jj+atrb+++=economic
growth ^nn++++=growth.
. ^zz++++=EXTRAWORD
Overall ^jjb++++=Overall,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
found ^vbd+vprv+tht0+xvbn+=found
that ^tht+vcmp+++=that
increased ^vbd+++xvbn+=increased
lagged ^vprf+++xvbn+=lagged
uncertainty ^nn++++=uncertainty
was ^vbd+bedz+aux++=was
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
increased ^jj+atrb++xvbn+=increased
suicide ^nn++++=suicide
rates ^nns++++=rates.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
suggests ^vbz+vpub+++=suggests
that ^tht+vcmp+++=that
the ^ati++++=the
incidence ^nn+nom+++=incidence
of ^in++++=of
global ^jj+atrb+++=global
economic ^jj+atrb+++=economic
uncertainty ^nn++++=uncertainty
shocks ^nns++++=shocks
is ^vbz+bez+aux++=is
not ^xnot++not++=not
immediately ^rb+tm+++=immediately
reflected ^vbd+vprv++xvbn+=reflected
in ^in++++=in
an ^at++++=an
increase ^nn++++=increase
in ^in++++=in
suicide ^nn++++=suicide
rates ^nns++++=rates
and ^cc++++=and
highlights ^nns++++=highlights
the ^ati++++=the
complex ^jj+atrb+++=complex
relationship ^nn+nom+++=relationship
between ^in++++=between
the ^ati++++=the
two ^cd++++=two.
. ^zz++++=EXTRAWORD
Increases ^vbz++++=Increases
in ^in++++=in
unemployment ^nn+nom+++=unemployment
and ^cc++++=and
economic ^jj+atrb+++=economic
growth ^nn++++=growth
were ^vbd+bed+aux++=were
also ^rb++splt++=also
found ^vpsv++agls+xvbnx+=found
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
an ^at++++=an
increased ^nn++++=increased
risk ^vb++++=risk
of ^in++++=of
suicide ^nn++++=suicide,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
differences ^nns+nom+++=differences
between ^in++++=between
regions ^nns++++=regions.
. ^zz++++=EXTRAWORD
Unemployment ^nn+nom+++=Unemployment
had ^vb+hv+vrb++=had
its ^pp$+it+++=its
greatest ^jjt+atrb+++=greatest
impact ^nn++++=impact
in ^in++++=in
East ^np+pl+++=East
Asia ^np++++=Asia
and ^cc++++=and
the ^ati++++=the
Pacific ^jj++++=Pacific
, ^zz++++=,
while ^cs+sub+++=while
economic ^jj+atrb+++=economic
uncertainty ^nn++++=uncertainty
and ^cc++++=and
accelerated ^vbd+++xvbn+=accelerated
economic ^jj+atrb+++=economic
growth ^nn++++=growth
were ^vbd+bed+vrb++=were
most ^ql+emph+++=most
significant ^jj++++=significant
in ^in++++=in
Africa ^np++++=Africa
and ^cc++++=and
the ^ati++++=the
Middle ^jjb++++=Middle
East ^np+pl+++=East.
. ^zz++++=EXTRAWORD
Given ^vpbn+v++xvbn+=Given
the ^ati++++=the
anticipatory ^jj+atrb+++=anticipatory
nature ^nn++++=nature
of ^in++++=of
economic ^jj+atrb+++=economic
uncertainty ^nn++++=uncertainty
and ^cc++++=and
its ^pp$+it+++=its
relationship ^nn+nom+++=relationship
with ^in++++=with
suicide ^nn++++=suicide
rates ^nns++++=rates,
, ^zz++++=EXTRAWORD
the ^ati++++=the
results ^nns++++=results
confirm ^vb+vpub+++=confirm
the ^ati++++=the
usefulness ^nns+nom+++=usefulness
of ^in++++=of
uncertainty ^nn++++=uncertainty
indicators ^nns++++=indicators
for ^in++++=for
the ^ati++++=the
early ^jj+atrb+++=early
detection ^nn+nom+++=detection
of ^in++++=of
increases ^nns++++=increases
in ^in++++=in
suicide ^nn++++=suicide
risk ^nn++++=risk
and ^cc++++=and
the ^ati++++=the
design ^nn++++=design
of ^in++++=of
suicide ^nn++++=suicide
prevention ^nn+nom+++=prevention
programmes ^nns++++=programmes.
. ^zz++++=EXTRAWORD
