Rather ^rb+cnj+++=Rather,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
seems ^vbz+seem+++=seems
that ^tht+vcmp+++=that
the ^ati++++=the
writers ^nns+nom+++=writers
contributing ^vwbg+++xvbg+=contributing
to ^in++++=to
the ^ati++++=the
Pjps ^np+++??+=PJPS
corpus ^nn++++=corpus
preferred ^vbd+++xvbn+=preferred
other ^ap++++=other
usage ^nn++++=usage
patterns ^nns++++=patterns.
. ^zz++++=EXTRAWORD
Take ^vb++++=Take
the ^ati++++=the
word ^nn++++=word
find ^vb+vprv+++=find;
; ^zz++++=EXTRAWORD
when ^wrb+who+++=when
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
the ^ati++++=the
function ^nn+nom+++=function
of ^in++++=of
reporting ^xvbg+++xvbg+=reporting
results ^nns++++=results,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
occurs ^vbz++++=occurs
more ^rbr++++=more
often ^rb++++=often
in ^in++++=in
the ^ati++++=the
passive ^jj+atrb+++=passive
voice ^nn++++=voice
and ^cc++++=and
mixed ^xvbn+++xvbn+=mixed
tenses ^nns++++=tenses,
, ^zz++++=EXTRAWORD
as ^in++++=as
in ^in"++++=in
Examples ^nns++++=Examples
( ^zz++++=(14)-(16).
14) ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
( ^zz++++=EXTRAWORD
16 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
14 ^cd++++=14)
) ^zz++++=EXTRAWORD
Considering ^vbg+++xvbg+=Considering
that ^tht+vcmp+++=that
the ^ati++++=the
participants ^nns+nom+++=participants
for ^in++++=for
this ^dt+dem+++=this
study ^nn++++=study
represented ^vbd+++xvbn+=represented
a ^at++++=a
cross ^jj+atrb+++=cross
section ^nn+nom+++=section
of ^in++++=of
the ^ati++++=the
Nigerian ^jj+atrb+++=Nigerian
civil ^jj+atrb+++=civil
society ^nn++++=society,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
pertinent ^jj+pred+++=pertinent
to ^to++++=to
note ^vbi+vprv+++=note
that ^tht+vcmp+++=that
what ^wdt+who+++=what
was ^vbd+bedz+aux++=was
found ^vpsv++agls+xvbnx+=found
in ^in++++=in
this ^dt+dem+++=this
study ^nn++++=study
tells ^vbz++++=tells
more ^rbr++++=more
about ^in++++=about
the ^ati++++=the
Nigerian ^jj+atrb+++=Nigerian
political ^jj+atrb+++=political
system ^nn++++=system.
. ^zz++++=EXTRAWORD
( ^zz++++=(PJPS59)
pjps59 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
15 ^cd++++=15)
) ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
one ^cd1++++=one
employs ^vbz++++=employs
the ^ati++++=the
Alford ^np++++=Alford
class ^nn++++=class
voting ^vwbg+++xvbg+=voting
index ^nn++++=index,
, ^zz++++=EXTRAWORD
the ^ati++++=the
same ^ap++++=same
trend ^nn++++=trend
is ^vbz+bez+aux++=is
found ^vpsv++agls+xvbnx+=found
, ^zz++++=,
as ^ql++++=as
class ^nn++++=class
voting ^vwbg+++xvbg+=voting
is ^vbz+bez+vrb++=is
down ^rp++++=down
from ^in++++=from
58 ^cd++++=58
to ^to++++=to
4 ^zz++++=4
in ^in++++=in
Denmark ^np++++=Denmark,
, ^zz++++=EXTRAWORD
( ^zz++++=(PJPS110)
pjps110 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
16 ^cd++++=16)
) ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
March ^nn++++=March
wave ^nn++++=wave
of ^in++++=of
the ^ati++++=the
survey ^nn++++=survey,
, ^zz++++=EXTRAWORD
partial ^jj+atrb+++=partial
support ^nn++++=support
was ^vbd+bedz+aux++=was
found ^vpsv++agls+xvbnx+=found
for ^in++++=for
H3a ^np+++??+=H3a,
, ^zz++++=EXTRAWORD
as ^ql++++=as
liberal ^jj+atrb+++=liberal
blog ^nn+++??+=blog-reading
- ^zz++++=EXTRAWORD
reading ^xvbg+++xvbg+=EXTRAWORD
predicted ^vbn+vpub++xvbn+=predicted
both ^abx++++=both
traditional ^jj++++=traditional
and ^cc+phrs+++=and
online ^jj+atrb++??+=online
political ^jj+atrb+++=political
activities ^nns+nom+++=activities
( ^zz++++=(
= ^zz++++==
. ^zz++++=.19,
19 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
p ^zz++++=p
< ^zz++++=<
. ^zz++++=.001;
001 ^nn+++??+=EXTRAWORD
; ^zz++++=EXTRAWORD
= ^zz++++==
. ^zz++++=.24,
24 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
p ^zz++++=p
< ^zz++++=<
. ^zz++++=.001,
001 ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively);
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
( ^zz++++=(PJPS64)
pjps64 ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
