One ^cd1++++=One
further ^jjb+atrb+++=further
driver ^nn++++=driver
behind ^in+pl+++=behind
the ^ati++++=the
confusion ^nn++++=confusion
around ^in++++=around
process ^nns+nom+++=process
evaluation ^nn+nom+++=evaluation
was ^vbd+bedz+vrb++=was
the ^ati++++=the
perceived ^jj+atrb++xvbn+=perceived
lack ^nn++++=lack
of ^in++++=of
knowledge ^nn++++=knowledge
expressed ^vwbn+vpub++xvbn+=expressed
by ^in++++=by
some ^dti++++=some
participants ^nns+nom+++=participants
concerning ^in++++=concerning
what ^wdt+who+++=what
a ^at++++=a
process ^nns+nom+++=process
evaluation ^nn+nom+++=evaluation
is ^vbz+bez+vrb++=is.
. ^zz++++=EXTRAWORD
A ^at++++=A
small ^jj+atrb+++=small
number ^nn++++=number
of ^in++++=of
participants ^nns+nom+++=participants
struggled ^vbd+++xvbn+=struggled
to ^to+vcmp+++=to
answer ^vb++++=answer
the ^ati++++=the
question ^nn+nom+++=question
of ^in++++=of
whether ^cs+who+++=whether
a ^at++++=a
process ^nns+nom+++=process
evaluation ^nn+nom+++=evaluation
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
conducted ^vpsv++agls+xvbnx+=conducted
as ^ql++++=as
part ^nn++++=part
of ^in++++=of
their ^pp$+pp3+++=their
Rct ^np+++??+=RCT
as ^ql++++=as
they ^pp3a+pp3+++=they
did ^vbd+dod+aux++=did
not ^xnot++not++=not
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
a ^at++++=a
process ^nns+nom+++=process
evaluation ^nn+nom+++=evaluation
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
when ^wrb+who+++=when
participants ^nns+nom+++=participants
did ^vbd+dod+aux++=did
know ^vb+vprv+++=know
the ^ati++++=the
term ^nn++++=term
process ^nns+nom+++=process
evaluation ^nn+nom+++=evaluation,
, ^zz++++=EXTRAWORD
some ^dti++++=some
participants ^nns+nom+++=participants
highlighted ^vbd+++xvbn+=highlighted
how ^wrb+who+++=how
they ^pp3a+pp3+++=they
did ^vbd+dod+aux++=did
not ^xnot++not++=not
feel ^vb+vprv+++=feel
familiar ^jj++++=familiar
with ^in++++=with
what ^wdt+who+++=what
the ^ati++++=the
construct ^nn++++=construct
stood ^vbd+++xvbn+=stood
for ^in+ppvb+++=for
or ^cc+cls+++=or
what ^wdt+who+++=what
a ^at++++=a
process ^nns+nom+++=process
evaluation ^nn+nom+++=evaluation
entailed ^vbd+++xvbn+=entailed
precisely ^rb++++=precisely.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
enough ^qlp++++=enough
about ^rp++++=about
process ^nns+nom+++=process
evaluations ^nns+nom+++=evaluations
to ^to++++=to
say ^vbi+vpub+++=say
either ^dtx++++=either
way ^nn++++=way,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
never ^rb++++=never
studied ^vbd+++xvbn+=studied
process ^nns+nom+++=process
evaluation ^nn+nom+++=evaluation
in ^in++++=in
school ^nn++++=school
as ^ql++++=as
a ^at++++=a,
, ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
thing ^nn++++=thing
out ^rp+pl+++=out
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
with ^in++++=with
specific ^jj+atrb+++=specific
methodology ^nn++++=methodology
and ^cc++++=and
specific ^jj+atrb+++=specific
guidelines ^nns+++??+=guidelines,
, ^zz++++=EXTRAWORD
ehm ^nn+++??+=ehm,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
read ^vbd+vprv++xvbnx+=read
a ^at++++=a
paper ^nn++++=paper
here ^rn+pl+++=here
and ^cc++++=and
there ^rn+pl+++=there
[ ^zz++++=[PI,
pi ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
male ^jj++++=Male,
, ^zz++++=EXTRAWORD
rct ^np++++=RCT
conducted ^vbd+++xvbn+=conducted
in ^in++++=in
lmic ^np++++=LMIC]
] ^zz++++=EXTRAWORD
